index,Question,Answer
22,"Which OSRF application checks to see if a username has been registered in up to 22 different e-mail providers?

A. mailfy.py   

B. usufy.py

C. entify.py

D. searchfy.py","A. The tool mailfy.py checks if a user name (e-mail) has been registered in up to 22 different e-mail providers. The choices usufy.py (verifies if a user name/profile exists in up to 306 different platforms), entify.py (looks for regular expressions), and searchfy.py (looks for profiles using full names and other info in seven platforms) are incorrect."
23,"You have an FTP service and an HTTP site on a single server. Which DNS record allows you to alias both services to the same record (IP address)?   

A. SOA
B. NS
C. CNAME
D. PTR",C. CNAME records provide for domain name aliases within the zone.
24,"As a pen test team member, you begin searching for IP ranges owned by the target organization and discover their network range. You also read job postings and news articles and visit the organization's website. Throughout the first week of the test, you also observe when employees come to and leave work, and you rummage through thetrash outside the building for useful information. Which type of footprinting are you accomplishing?   

A. Active
B. Passive
C. Reconnaissance
D. None of the above","B. All the methods discussed are passive in nature, per EC-Council's definition."
25,"A pen tester is attempting to use nslookup and has the tool in interactive mode for the search. Which command should be used to request the appropriate records?   

A. transfer type=ns
B. request type=ns
C. locate type=ns
D. set type=ns",D. The syntax for the other commands listed is incorrect.
26,"A member of your team enters the following command:

 nmap -sV -sC -O -traceroute IPAddress

 Which of the following Nmap commands performs the same task?

 A. nmap -A IPAddress
 B. nmap -all IPAddress
 C. nmap -Os IPAddress
 D. nmap -aA IPAddress","A. The -A switch turns on OS detection, version detection, script scanning, andtraceroute, just as the -O, -sV, -sC, and -traceroute switches do in conjunctionwith each other."
27,"You want to perform banner grabbing against a machine (168.15.22.4) you suspect as being a web server. Assuming you have the correct tools installed, which of the following command-line entries will successfully perform a banner grab? (Choose all that apply.)

 A. telnet 168.15.22.4 80
 B. telnet 80 168.15.22.4
 C. nc -v -n 168.15.22.4 80
 D. nc -v -n 80 168.15.22.4","A, C. Both Telnet and Netcat, among others, can be used for banner grabbing.
The correct syntax for both has the port number last"
28,"You've decided to begin scanning against a target organization but want to keep your efforts as quiet as possible. Which IDS evasion technique splits the TCP header among multiple packets?

 A. Fragmenting
 B. IP spoofing
 C. Proxy scanning
 D. Anonymizer","A. Fragmenting packets is a great way to evade an IDS, for any purpose. Sometimesreferred to as IP fragments, splitting a TCP header across multiple packets can serveto keep you hidden while scanning."
29,"One of your team members is analyzing TTL fields and TCP window sizes in order to fingerprint the OS of a target. Which of the following is most likely being attempted?

 A. Online OS fingerprinting
 B. Passive OS fingerprinting
 C. Aggressive OS fingerprinting
 D. Active OS fingerprinting","B. Generally, any activity noted in a question that does not explicitly state you arecrafting packets and injecting them toward a system indicates you are passivelyobserving traffic—in this case, most likely with a sniffed traffic log."
30,"What flag or flags are sent in the segment during the second step of the TCP three-way handshake? 

 A. ACK
 B. SYN
 C. SYN/ACK
 D. ACK/FIN ","C. A three-way TCP handshake has the originator forward a SYN. The recipient,
in step 2, sends a SYN and an ACK. In step 3, the originator responds with anACK. The steps are referred to as SYN, SYN/ACK, ACK."
31,"You are port scanning a system and begin sending TCP packets with the ACK flag set. Examining the return packets, you see a return packet for one port has the RST flag set and the TTL is less than 64. Which of the following is true?

                A. The response indicates an open port.

                B. The response indicates a closed port.

                C. The response indicates a Windows machine with a nonstandard TCP/IP stack.

                D. ICMP is filtered on the machine.","A. According to ECC, if the TTL of the returned RST packet is less than 64, theport is open."
32,"An ethical hacker is ACK-scanning against a network segment he knows is sitting behind a stateful firewall. If a scan packet receives no response, what does that indicate?   

                A. The port is filtered at the firewall.

                B. The port is not filtered at the firewall.

                C. The firewall allows the packet, but the device has the port closed.

                D. It is impossible to determine any port status from this response.","A. An ACK packet received by a stateful firewall will not be allowed to pass unlessit was “sourced” from inside the network. No response indicates the firewall
filtered that port packet and did not allow it passage."
33,"Which flag forces a termination of communications in both directions?

                A. RST

                B. FIN

                C. ACK

                D. PSH",A. The RST flag forces both sides of the communications channel to stop. A FINflag signifies an ordered close to the communications.
34,"You are examining a host with an IP address of 52.93.24.42/20 and want to determine the broadcast address for the subnet. Which of the following is the correct broadcast address for the subnet?   

                Α. 52.93.24.255

                Β. 52.93.0.255

                C. 52.93.32.255

                D. 52.93.31.255

                Ε. 52.93.255.255","D. If you look at the address 52.93.24.42 in binary, it looks like this: 00110100.01011101.00011000.00101010. The subnet mask given, /20, tells us only the first
20 bits count as the network ID (which cannot change if we are to stay in the samesubnet), and the remaining 12 bits belong to the host. Turning off all the host bits
(after the 20th) gives us our network ID: 00110100.01011101.00010000.00000000 (52.93.16.0/20). Turning on all the host bits gives us our broadcast address: 00110100.01011101.00011111.11111111 (52.93.31.255/20)."
35,"Which port number is used by default for syslog?

                A. 21

                B. 23

                C. 69

                D. 514","D. Syslog uses 514 by default. Even if you had no idea, the other answers
provided are very well-known default ports (FTP, Telnet, TFTP), so you caneliminate them as possible answers."
36,"Which of the following commands would you use to quickly identify live targets on a subnet? (Choose all that apply.)

A. nmap -A 172.17.24.0/24
B. nmap -O 172.17.24.0/24
C. nmap -sn 172.17.24.0/24
D. nmap -PI 172.17.24.0/24","C, D. Both the -sn and -PI switches will accomplish the task quickly and efficiently."
37,"You're running an IDLE scan and send the first packet to the target machine. Next, the SYN/ACK packet is sent to the zombie. The IPID on the return packet from the zombie is 36754. If the starting IPID was 36753, in what state is the port on the target machine?   

A. Open
B. Closed
C. Unknown
D. None of the above","B. Since the IPID incremented by only one, this means the zombie hasn’t sent
anything since your original SYN/ACK to figure out the starting IPID. If theIPID had increased by two, then the port would be open because the zombiewould have responded to the target machine’s SYN/ACK."
38,"Which ICMP message type/code indicates the packet could not arrive at the recipient due to exceeding its time to live?   

A. Type 11
B. Type 3, Code 1
C. Type 0
D. Type 8","A. A Type 11 ICMP packet indicates the TTL for the packet has reached 0;
therefore, it must take the Carrousel (from the movie Logan’s Run) and disappear
to a better place."
39,"An ethical hacker is sending TCP packets to a machine with the SYN flag set. None of the SYN/ACK responses on open ports is being answered. Which type of port scan is this?   

A. Ping sweep
B. XMAS
C. Stealth
D. Full","C. ECC defines as a stealth scan what most of us used to call a half-open scan
(although I suppose it would actually make more sense mathematically to call it
a two-thirds scan, since it’s a three-way handshake and only two are used). This is
also known as a SYN scan."
40,"Which of the following statements is true regarding port scanning?

A. Port scanning's primary goal is to identify live targets on a network.
B. Port scanning is designed to overload the ports on a target in order to identify which are open and which are closed.
C. Port scanning is designed as a method to view all traffic to and from a system.
D. Port scanning is used to identify potential vulnerabilities on a target system.","D. Port scanning has a singular purpose—to knock on ports and see if they’re
open (listening). Does an open port necessarily mean something is wrong? No,
but it does represent a potential vulnerability you can exploit later.
"
41,"Which of the following best describes a honeypot?
A. It is used to filter traffic from screened subnets.
B. It is used to gather information about potential network attackers.
C. It is used to analyze traffic for detection signatures.
D. Its primary function involves malware and virus protection.","B. A honeypot is designed to draw attackers in so you can watch what they do,
how they do it, and where they do it from."
42,"Which of the following Wireshark filters would display all traffic sent from, or
destined to, systems on the 172.17.15.0/24 subnet? (Choose all that apply.)
A. ip.addr == 172.17.15.0/24
B. ip.src == 172.17.15.0/24 and ip.dst == 172.17.15.0/24
C. ip.src == 172.17.15.0/24 or ip.dst == 172.17.15.0/24
D. ip.src == 172.17.15.0/24 and ip.dst == 172.17.15.0/24","A, C. In Wireshark filter questions, always pay attention to the operators. While
answer A shows any packet with the correct IP address in it, anywhere, the or
operator in answer C shows packets meeting both options."
43,"Which of the following best describes active sniffing? (Choose all that apply.)
A. Active sniffing is usually required when hubs are in place.
B. Active sniffing is usually required when switches are in place.
C. Active sniffing is harder to detect than passive sniffing.
D. Active sniffing is easier to detect than passive sniffing.","B, D. If you’re on a hub, why bother with active sniffing techniques? You’re
already seeing everything. Also, active sniffing is much more likely to get you
caught than simply plugging in a wire and sitting back.
"
44,"Your client tells you they know beyond a doubt an attacker is sending messages
back and forth from their network, yet the IDS doesn’t appear to be alerting onthe traffic. Which of the following is most likely true?
A. The attacker is sending messages over an SSL tunnel.
B. The attacker has corrupted ACLs on every router in the network.
C. The attacker has set up port security on network switches.
D. The attacker has configured a trunk port on a switch.","A. Encryption is the bane of an IDS’s existence. If traffic is encrypted, the IDS is
blind as a bat."
45,"Which display filter for Wireshark shows all TCP packets containing the
word facebook?
A. content==facebook
B. tcp contains facebook
C. display==facebook
D. tcp.all contains ==facebook","B. The appropriate Wireshark display filter is the following:
tcp contains search-string"
46,"You are configuring rules for your Snort installation and want to have an alert
message of “Attempted FTP” on any FTP packet coming from an outside address
intended for one of your internal hosts. Which of the following rules is correct
for this situation?
A. alert tcp $EXTERNAL_NET any -> $HOME_NET 23 (msg:""Attempted FTP"")
B. alert tcp $EXTERNAL_NET any -> $HOME_NET 25 (msg:""Attempted FTP"")
C. alert tcp $EXTERNAL_NET any -> $HOME_NET 21 (msg:""Attempted FTP"")
D. alert tcp $HOME_NET 21 -> $EXTERNAL_NET any (msg:""Attempted FTP"")
","C. Snort rules follow the same syntax:
action protocol src address src port -> dest address port (options)"
47,"What occurs when an IDS does not properly identify a malicious packet enteringthe network?
A. False negative
B. False positive
C. True negative
D. True positive","A. When traffic gets to the IDS, is examined, and is still let through even thoughit’s malicious, a false negative has occurred. And a false negative is really, really bad."
48,"Machine A (with MAC address 00-01-02-AA-BB-CC) and Machine B(00-01-02-BB-CC-DD) are on the same subnet. Machine C, with address
00-01-02-CC-DD-EE, is on a different subnet. While the attacker is sniffingon the fully switched network, Machine B sends a message to Machine C.
If an attacker on Machine A wanted to receive a copy of this message, which of
the following circumstances would be necessary?
A. The ARP cache of the router would need to be poisoned, changing the entryfor Machine A to 00-01-02-CC-DD-EE.
B. The ARP cache of Machine B would need to be poisoned, changing the entryfor the default gateway to 00-01-02-AA-BB-CC.
C. The ARP cache of Machine C would need to be poisoned, changing the entryfor the default gateway to 00-01-02-AA-BB-CC.
D. The ARP cache of Machine A would need to be poisoned, changing the entryfor Machine C to 00-01-02-BB-CC-DD.","B. ARP poisoning is done on the machine creating the frame—the sender.
Changing the default gateway entry on the sending machine results in all framesintended for an IP out of the subnet being delivered to the attacker. Changingthe ARP cache on the other machine or the router is pointless."
49,"An IDS installed on the network perimeter sees a spike in traffic during off-dutyhours and begins logging and alerting. Which type of IDS is in place?
A. Stateful
B. Signature based
C. Anomaly based
D. Packet filtering","C. IDSs can be signature or anomaly based. Anomaly-based systems build abaseline of normal traffic patterns over time, and anything that appears outsideof the baseline is flagged."
50,"In what situation would you employ a proxy server? (Choose the best answer.)
A. You want to share files inside the corporate network.
B. You want to allow outside customers into a corporate website.
C. You want to filter Internet traffic for internal systems.
D. You want to provide IP addresses to internal hosts.","C. There are a bunch of reasons for having a proxy. In this case, you’re using it tofilter traffic between internal hosts and the rest of the world. Generally, proxies
don’t act as file servers, websites, or DHCP servers."
51,"An attacker has successfully connected a laptop to a switch port and turned ona sniffer. The NIC is running in promiscuous mode, and the laptop is left alonefor a few hours to capture traffic. Which of the following statements are true?
(Choose all that apply.)
A. The packet capture will provide the MAC addresses of other machines connectedto the switch.
B. The packet capture will provide only the MAC addresses of the laptop andthe default gateway.
C. The packet capture will display all traffic intended for the laptop.
D. The packet capture will display all traffic intended for the default gateway.
","A, C. Switches filter or flood traffic based on the address. Broadcast traffic, suchas ARP requests and answers, is flooded to all ports. Unicast traffic, such as trafficintended for the laptop itself or the default gateway, is sent only to the port onwhich the machine rests."
52,"Which of the following are appropriate active sniffing techniques against a
switched network? (Choose all that apply.)
A. ARP poisoning
B. MAC flooding
C. SYN flooding
D. Birthday attack
E. Firewalking","A, B. ARP poisoning can be used to trick a system into sending packets to your
machine instead of recipients (including the default gateway). MAC flooding is
an older attack used to fill a CAM table and make a switch behave like a hub."
53,"A pen tester is configuring a Windows laptop for a test. In setting up Wireshark,
what driver and library are required to allow the NIC to work in promiscuous
mode?
A. Libpcap
B. WinProm
C. WinPcap
D. Promsw",C. WinPcap is the library used for Windows devices. Libpcap is used on Linuxdevices for the same purpose.
54,"Which of the following works at Layer 5 of the OSI model?
A. Stateful firewall
B. Packet-filtering firewall
C. Circuit-level firewall
D. Application-level firewall","C. I admit, this one is tricky. Yes, circuit-level firewalls work at Layer 5. Stateful
firewalls can be said to work at Layer 5, but they’re focused on Layers 3 and 4.
Application-level firewalls work at Layer 7."
55,"Which of the following best defines steganography?
A. Steganography is used to hide information within existing files.
B. Steganography is used to create hash values of data files.
C. Steganography is used to encrypt data communications, allowing files to bepassed unseen.
D. Steganography is used to create multimedia communication files.","A. Steganography is designed to place information in files where it will lay hiddenuntil needed. Information can be hidden in virtually any file, although image andvideo files are traditionally associated with steganography."
56,"Which encryption standard is used by LM?
A. MD5
B. SHA-1
C. DES
D. SHA-2
E. 3DES","C. LAN Manager (LM), an old and outdated authentication system, used DES,
an old and outdated means for hashing files (in this case, passwords)."
57,"Which of the following would be considered a passive online password attack?
A. Guessing passwords against an IPC$ share
B. Sniffing subnet traffic to intercept a password
C. Running John the Ripper on a stolen copy of the SAMD. Sending a specially crafted PDF to a user for that user to open
D. Sending a specially crafted PDF to a user for that user to open",B. Passive online attacks simply involve stealing passwords passed in clear text orcopying the entire password exchange in the hopes of pulling off a reply or manin-the-middle attack.
58,"A user on Joe’s network does not need to remember a long password. Users on Joe’snetwork log in using a token and a four-digit PIN. Which authentication measurebest describes this?
A. Multifactor authentication
B. Three-factor authentication
C. Two-factor authentication
D. Token authentication","C. Because Joe’s users need something they have (a token) and something theyknow (the PIN), this is considered two-factor authentication."
59,"Which of the following best defines a hybrid attack?
A. The attack uses a dictionary list, trying words from random locations in the
file until the password is cracked.
B. The attack tries random combinations of characters until the password
is cracked.
C. The attack uses a dictionary list, substituting letters, numbers, and characters
in the words until the password is cracked.
D. The attack uses rainbow tables, randomly attempting hash values throughout
the list until the password is cracked.","C. The hybrid attack takes any old dictionary list and juices it up a little.
It substitutes numbers for letters, injects a character or two, and runs numerous
hybrid versions of your word list in an attempt to crack passwords."
60,"While pen testing a client, you discover that LM hashing, with no salting, is still
engaged for backward compatibility on most systems. One stolen password hashreads 9FAF6B755DC38E12AAD3B435B51404EE. Is this user following goodpassword procedures?
A. Yes, the hash shows a 14-character, complex password.
B. No, the hash shows a 14-character password; however, it is not complex.
C. No, the hash reveals a 7-character-or-less password has been used.
D. It is impossible to determine simply by looking at the hash.","C. LM hashes pad a password with blank spaces to reach 14 characters, split it
into two 7-character sections, and then hash both separately. Because the LMhash of seven blank characters is always AAD3B435B51404EE, you can tell fromthe hash that the user has used only seven or fewer characters in the password.
Because CEH recommends that a password be a minimum of eight characters,
be complex, and expire after 30 days, the user is not following good policy."
61,"Where is the SAM file stored on a Windows 7 system?
A. /etc/
B. C:\Windows\System32\etc\
C. C:\Windows\System32\Config\
D. C:\Windows\System32\Drivers\Config","C. The SAM file is stored in the same folder on most Windows machines:
C:\Windows\System32\Config\."
62,"Examining a database server during routine maintenance, you discover an hour of
time missing from the log file, during what would otherwise be normal operating
hours. Further investigation reveals no user complaints on accessibility. Which of
the following is the most likely explanation?
A. The log file is simply corrupted.
B. The server was compromised by an attacker.
C. The server was rebooted.
D. No activity occurred during the hour time frame.","B. It’s a database server during normal business hours and there’s nothing in the
log? Forget the fact a reboot would’ve showed up somewhere—none of the users
complained about it being down at all. No, this one is going to require some
forensics work. Call the IR team."
63,"Which of the following can migrate the machine’s actual operating system into a
virtual machine?
A. Hypervisor-level rootkit
B. Kernel-level rootkit
C. Virtual rootkit
D. Library-level rootkit","A. The hypervisor-level rootkit is defined by ECC as one that basically replaces
your physical OS with a virtual one."
64,"After gaining access to a Windows machine, you see the last command executedon the box looks like this:
net use F: \\MATTBOX\BankFiles /persistent:yes
Assuming the user had appropriate credentials, which of the following are true?
(Choose all that apply.)
A. In Windows Explorer, a folder appears under the root directory namedBankFiles.
B. In Windows Explorer, a drive appears denoted as BankFiles (\\MATTBOX) (F:).
C. The mapped drive will remain mapped after a reboot.
D. The mapped drive will not remain mapped after a reboot.","B, C. net use commands were the rage back in the day. This command connects
to a shared folder on MATTBOX. The shared folder is named BankFiles, and
the mapping will display as a drive (F:) on the local machine. The persistent:yes
portion means it will remain mapped forever, until you turn it off."
65,". An attacker has hidden badfile.exe in the readme.txt file. Which of the following isthe correct command to execute the file?
A. start readme.txt>badfile.exe
B. start readme.txt:badfile.exe
C. start badfile.exe > readme.txt
D. start badfile.exe | readme.txt","B. The command start readme.txt:badfile.exe says “Start the executable badfile.
exe that is hidden in the readme.txt file.” In other variants of this question,
the bad guy could create a link and execute it simply by typing the link name
(for example, mklink innocent.exe readme.txt:badfile.exe would create a link,
and the bad file could be executed simply by typing innocent)."
66,"You see the following command in a Linux history file review:
someproc &
Which of the following best describe the command result? (Choose two.)
A. The process someproc will stop when the user logs out.
B. The process someproc will continue to run when the user logs out.
C. The process someproc will run as a background task.
D. The process someproc will prompt the user when logging off","A, C. The ampersand (&) after the command dictates that the process should
run in the background. Without anything indicating a persistent process
(that is, adding nohup before the process name), it will die when the user
logs out."
67,"You are examining log files and notice several connection attempts to a hosted web server. Many attempts appear as such:

http://www.example.com/2e%2e/82e%2e/82e%2e/%2e%2e/%2e%2e/windows\system32\cmd.exe   

What type of attack is in use?

A. SQL injection
B. Unicode parameter tampering
C. Directory traversal
D. Cross-site scripting","C. This connection is attempting to traverse the directory from the Inetpub folders (in MS IIS servers) to a command shell for the attacker. Instead of dot-dot-slash, Unicode is used in this example to bypass potential IDS signatures."
68,"The accounting department of an online business notices several orders that seem to have been made erroneously. In researching the issue, you discover that the prices of items on several web orders do not match the listed prices on the business’s public website. You verify that the web server and the ordering database do not seem to have been compromised. Additionally, no alerts have displayed in the Snort logs concerning a possible attack on the web application. Which of the following might explain the attack in play?

A. The attacker has copied the source code to his machine and altered hidden fields to modify the purchase price of the items.
B. The attacker has used SQL injection to update the database to reflect new prices for the items.
C. The attacker has taken advantage of a server-side include that altered the price.
D. The attacker used Metasploit to take control of the web application. ","A. In this case, because the logs and IDSs show no direct attack, it's most likely the attacker has copied the source code directly to his machine and altered the hidden ""price"" fields on the order form. All other types of attack would have, in some form or fashion, shown themselves easily."
69,"A pen test team member uses the following entry at the command line:

nmap --script http-methods --script-args somesystem.com

Which of the following is true regarding the intent of the team member?   

A. The team member is attempting to see which HTTP methods are supported by somesystem.com.
B. The team member is attempting XSS against somesystem.com.
C. The team member is attempting HTTP response splitting against somesystem.com.
D. The team member is attempting to site-mirror somesystem.com.","A. The http-methods script tests a target to see what HTTP methods are supported (by sending an HTTP OPTIONS request). Why would an attacker do this? If you know what GET, POST, and PUT do, then you know the answer to this question already."
70,"Which of the following is not recommended as a security measure for your web servers?

A. Ensure there is a backout plan for any patch or hotfix.
B. Block only those ports known as relating to malicious tools and techniques.
C. Avoid mapping virtual directories between servers across the network.
D. Allow remote access only with properly secured encryption/tunneling.","B. You should block or disable every port and/or service that is not in use. A ""known malicious port"" means nothing to an adversary, as they'll just as likely highjack your open but unused syslog port."
71,"Which of the following would be the best protection against XSS attacks?

A. Invest in top-of-the-line firewalls.
B. Perform vulnerability scans against your systems.
C. Configure input validation on your systems.
D. Have a pen test performed against your systems.","C. ""Best"" is always a tricky word in an exam question. In this case, configuring server-side operations to validate what's being put in the input field is by far the best mitigation. Could vulnerability scans and pen tests tell you something is wrong? Sure, but by themselves they don't do anything to protect you."
72,"Which of the following is true regarding n-tier architecture?

A. Each tier must communicate openly with every other tier.
B. N-tier always consists of presentation, logic, and data tiers.
C. N-tier is usually implemented on one server.
D. N-tier allows each tier to be configured and modified independently.","D. While usually implemented in three tiers, n-tier simply means you have three or more independently monitored, managed, and maintained servers, each providing a specific service or tasking."
73,"Which character is the best choice to start a SQL injection attempt?

A. Colon
B. Semicolon
C. Double quote
D. Single quote","D. The single quote should begin SQL injection attempts, even though in many database systems it's not always an absolute."
74,"Configuring the web server to send random challenge tokens is the best mitigation for which of the following?

A. XSS attacks
B. Buffer overflow attacks
C. Parameter manipulation attacks
D. CSRF attacks","D. The requests from the bad guy masquerading with your session ID through your browser (cross-site request forgery - CSRF) can be largely stopped by making sure each request has a challenge token - if the server gets one without a token, it's deemed bad and dropped.

"
75,"Which of the following is a true statement?

A. SOAP cannot bypass a firewall.
B. SOAP encrypts messages using HTTP methods.
C. SOAP is compatible with HTTP and SMTP.
D. SOAP messages are usually bidirectional.","C. SOAP is compatible with HTTP and SMTP, and usually the messages are ""one-way"" in nature.

"
